Type,Retailprice,Sport,SUV,Wagon,Minivan,Pickup,Engine,Cylinders,Horsepower,CityMPG,HwyMPG,Weight,Wheelbase,Length,Height
Other,10280,0,0,0,0,0,1.6,4,104,26,33,2403,95,167,66
Other,10539,0,0,0,0,0,1.6,4,103,29,33,2255,96,167,66
Other,10760,0,0,0,0,0,1.5,4,108,35,43,2035,93,163,65
Other,10995,0,0,0,0,0,2.2,4,140,26,35,2692,103,185,67
Other,11155,0,0,0,0,0,1.6,4,104,25,32,2458,95,167,66
Other,11290,0,0,0,0,0,1.5,4,108,35,43,2055,93,163,65
Other,11560,0,0,0,0,0,1.5,4,108,33,39,2085,93,163,65
Other,11690,0,0,0,0,0,1.6,4,103,28,34,2370,98,167,66
Other,11839,0,0,0,0,0,1.6,4,103,29,33,2290,96,167,66
Other,11905,0,0,1,0,0,1.6,4,104,26,33,2447,95,167,66
Other,11939,0,0,0,0,0,1.6,4,103,29,33,2339,96,167,66
Other,12269,0,0,0,0,0,2,4,119,24,31,2701,102,177,68
Other,12360,0,0,0,0,0,1.8,4,124,24,32,2661,101,178,68
Other,12585,0,0,0,0,0,1.6,4,103,28,34,2348,98,153,66
Other,12740,0,0,0,0,0,1.8,4,126,28,35,2513,100,178,67
RWD,12800,0,0,0,0,1,2.4,4,142,22,27,2750,103,NA,NA
Other,12884,0,0,0,0,0,2.3,4,155,25,31,2676,98,171,68
Other,12965,0,0,0,0,0,1.5,4,108,32,38,2340,93,154,67
Other,13270,0,0,0,0,0,2,4,130,26,33,2612,103,168,67
Other,13270,0,0,0,0,0,1.7,4,115,32,38,2432,103,175,67
Other,13580,0,0,0,0,0,1.8,4,124,24,32,2686,101,178,68
Other,13670,0,0,0,0,0,2,4,132,29,36,2581,105,174,67
Other,13730,0,0,0,0,0,2,4,110,27,36,2606,103,168,67
Other,13839,0,0,0,0,0,2,4,138,26,34,2635,103,178,68
Other,14085,0,0,0,0,0,1.8,4,130,32,40,2502,102,178,67
Other,14165,0,0,1,0,0,1.5,4,108,31,35,2425,98,155,67
Other,14170,0,0,0,0,0,1.7,4,117,36,44,2500,103,175,67
Other,14300,0,0,0,0,0,2.2,4,140,26,35,2692,103,185,67
RWD,14385,0,0,0,0,1,2.3,4,143,24,29,3028,111,NA,NA
Other,14500,0,0,0,0,0,2.3,4,155,25,31,2676,98,171,68
Other,14610,0,0,0,0,0,2.2,4,140,26,37,2617,104,183,69
Other,14622,0,0,0,0,0,2,4,120,NA,NA,2656,102,181,67
Other,14630,0,0,0,0,0,1.8,4,124,24,32,2697,101,178,68
Other,14740,0,0,0,0,0,1.8,4,126,28,35,2581,100,178,67
