Date,AKS,AM,COG,CPE,D,DVN,EQT,ESV,FOXF,GIG,GPOR,HES,MTDR,PE,PRAH,QEP,SABR,SE,SPWH,SRC,SWN,SYRG,WGP,USO,SPY
9/21/16,4.72,26.68,25.24,14.9,76.75,42.169998,74.160004,7.09,21.82,2.33,26.629999,47,21.950001,32.700001,55.48,18.07,27.07,42.669998,9.82,13.38,14.68,6.3,39.630001,10.4,215.820007
9/20/16,4.3,25.57,24.52,14.15,75.629997,40.66,72.760002,6.64,20.450001,2.28,26.57,45.669998,20.49,32.099998,54.75,17.07,26.709999,42,9.64,13.15,14.25,5.88,38.66,10.07,213.419998
9/19/16,4.3,25.52,24.35,14.37,75.900002,40.849998,71.230003,6.74,20.530001,2.22,26.5,45.959999,21,32.779999,54.009998,17.09,26.92,42.310001,9.78,13.11,13.86,6.08,38.18,9.98,213.410004
9/16/16,4.11,25.040001,24.299999,14.48,75.059998,40.990002,70.510002,6.87,20.879999,2.18,26.74,46.48,20.690001,32.970001,54.02,17.059999,26.87,42.459999,9.77,12.96,13.68,6.14,37.549999,10,213.369995
9/15/16,4.06,25.16,25.040001,14.19,74.449997,40.900002,71.440002,6.99,20.84,2.19,28.360001,46.650002,21.18,32.380001,53.57,16.879999,27.437256,42.220001,9.67,13.04,14.08,6.23,37,10.14,214.197992
9/14/16,4.07,25.469999,25.09,14.13,73.790001,40.18,70.620003,6.89,20.9,2.05,28.41,46.659999,20.93,32.080002,51.740002,17.02,27.198411,41.93,9.6,13.04,13.89,6.26,37.049999,10.09,212.078693
9/13/16,4.06,25.76,25.209999,14.36,73.519997,41.139999,71.370003,6.89,20.549999,2.11,28.98,47.515416,21.629999,32.310001,51.41,17.379999,27.775619,41.52,9.61,12.8,14.19,6.37,36.950001,10.37,212.158293
9/12/16,4.26,26.98,26.299999,15.27,74.050003,43.129999,73.959999,7.37,20.610001,2.23,30.049999,49.614172,22.93,33.93,51.740002,18.18,28.253307,43.419998,9.74,13.06,14.94,6.94,36.639999,10.64,215.252662
9/9/16,4.14,26.98,26.059999,15.02,72.5,43.299765,72.540001,7.27,20.57,2.2,29.610001,49.653956,22.860001,33.630001,50.130001,18.139999,28.044319,42.799999,9.77,12.98,14.72,6.85,37.02,10.59,212.208044
9/8/16,4.34,27.6,26.5,15.54,75.510002,45.217096,73.620003,8.01,21.15,2.32,30.1,52.269941,24.059999,34.830002,50.549999,19.18,28.820562,43.98,10.21,13.62,15.44,7.17,37.849998,10.96,217.411754
9/7/16,4.41,27.700001,25.25,15.46,75.389999,44.138598,72.43,7.34,21.24,2.15,29.4,50.539216,24.08,34.43,50.259998,19.32,28.900179,41.919998,10.39,13.88,14.42,7,37.610001,10.52,217.909241
9/6/16,4.69,27.73,24.77,15.3,75.5,44.148582,72.650002,7.49,21.059999,2.06,29.5,50.956976,23.940001,34.77,49.619999,19.35,28.721045,41,10.45,13.59,14.2,6.66,37.5,10.39,217.929145
9/2/16,4.35,27.75,24.41,14.96,74.75,44.2085,71.82,7.46,21.110001,1.95,29.02,52.797119,23.719999,34.860001,50.380001,19.219999,28.551864,36.150002,10.44,13.33,13.93,6.47,37.119999,10.24,217.272458
9/1/16,4.4,27.690001,24.459999,14.66,74.059998,43.639292,71.739998,7.38,21.02,1.95,28.68,53.025893,23,34.290001,50.560001,19.07,28.31302,35.610001,10.48,13.23,13.79,6.41,36.77,10.06,216.297388
8/31/16,4.46,27.559999,24.629999,14.55,74.160004,43.269808,71.5,7.59,20.76,1.88,28.6,54.010614,22.950001,33.849998,50.549999,19.1,28.014463,35.619999,10.25,13.25,13.91,6.55,36.869999,10.36,216.287444
8/30/16,4.44,27.719999,24.84,14.75,74.249996,44.378262,72.260002,7.72,20.58,1.92,29.030001,55.781131,23.440001,34.240002,50.810001,19.450001,27.994559,35.73,10.42,13.19,14.2,6.8,36.810001,10.73,216.904323
8/29/16,4.69,27.559999,25.16,14.72,74.98309,44.94747,72.610001,7.969677,20.709999,1.95,29.15,56.119315,24.059999,33.779999,51.439999,19.440001,27.865185,35.73,10.62,13.23,14.43,6.92,36.990002,10.85,217.262514
8/26/16,4.58,27.459999,25.23,14.45,74.041958,44.368278,71.68,7.78991,20.549999,1.94,28.57,56.367983,23.9,33.91,51.310001,19.59,27.88509,35.639999,10.6,13.09,14.36,6.66,36.540001,10.95,216.197885
8/25/16,4.68,26.889999,25.4,14.44,75.527949,44.318348,71.57,7.899767,20.34,1.96,27.790001,56.50724,23.6,33.950001,50.439999,19.709999,27.765667,35.689999,10.6,13.12,14.09,6.64,36.470001,10.95,216.605828
8/24/16,4.61,26.77,25.610001,14.14,75.409075,44.448165,71.870003,7.939715,19.91,1.93,27.629999,56.049688,23.360001,33.470001,51.189999,19.83,27.805475,36.09,11,13.15,13.92,6.56,36.419998,10.82,216.755083
8/23/16,4.83,26.93,26.01,14.28,75.121782,45.167166,72.099998,8.289263,19.09,1.97,27.469999,56.119315,22.85,33.619999,52.59,20.35,27.666148,36.25,11.14,13.43,14.04,6.91,36.34,11.09,217.869449
8/22/16,4.8,26.620001,25.74,14.02,75.567576,44.038735,71.610001,8.209366,18.629999,1.95,27.27,55.90049,22.700001,33.689999,51.75,20.24,27.158605,36.110001,10.87,13.43,13.47,6.86,36.259998,10.97,217.431658
8/19/16,4.67,27.08,25.959999,14.12,75.092064,44.268418,71.339996,8.698732,18.709999,1.97,26.74,56.925,23.52,33.98,51.27,20.41,26.860048,36.360001,10.94,13.34,13.72,7.07,36.5,11.34,217.441602
8/18/16,5.17,27.200001,26.059999,14.14,76.142161,44.697817,71.260002,8.97837,18.549999,1.97,26.450001,57.312921,24.27,33.830002,51.380001,20.4,26.959567,36.779999,10.99,13.46,14.38,7.06,36.990002,11.3,217.760001
8/17/16,5.12,26.52,25.01,13.99,75.934123,43.249835,68.949997,8.528952,18.52,1.95,25.65,56.397825,23.139999,33.77,51.380001,19.82,26.889904,36.119999,10.54,13.34,13.83,6.99,36.630001,10.99,217.272458
8/16/16,5.22,26.58,25.08,13.86,73.982521,42.411002,69.25,8.918448,18.700001,2,26.49,56.367983,23.49,33.740002,51.619999,20.040001,27.367593,36,10.78,13.15,14.16,7.2,36.68,10.92,216.86453
