Stock,Date,Transaction_Price,Transaction_Volume,Transaction_$,Comp
AKS,4/29/16,4.40,59.8,263.1,X
AM,3/24/16,22.40,8.2,183.7,CPE
COG,2/23/16,20.00,50.6,1012.0,EQT
CPE,3/4/16,6.52,15.2,99.0,PE
D,4/5/16,73.53,10.2,750.0,AEP
DVN,2/18/16,18.75,79.4,1488.8,MTDR
EQT,2/19/16,58.50,7.475,437.3,GPOR
ESV,4/15/16,9.25,57,527.3,SYRG
FOXF,3/11/16,15.90,2.5,39.8,SPY
GIG,6/10/16,2.00,13.2,26.4,LSCC
GPOR,3/10/16,25.25,14.7,371.2,EQT
HES,2/5/16,39.00,28.75,1121.3,MTDR
MTDR,3/8/16,18.93,7.5,142.0,DVN
PE,4/5/16,390.60,20.5,8007.3,CPE
PRAH,5/3/16,48.90,5.0,244.5,INCR
QEP,2/29/16,10.00,38,380.0,CPE
SABR,2/26/16,27.00,20,540.0,SPY
SE,4/5/16,30.00,16.1,483.0,SRC
SPWH,4/13/16,6.90,11.25,77.6,TAST
SRC,4/12/16,34.50,11.15,384.7,SE
SWN,6/29/16,12.79,98.9,1265.0,QEP
SYRG,5/1/16,7.69,19.5,150.0,ESV
WGP,6/14/16,38.48,12.5,481.0,HES
