"Date","AKS","AM","COG","CPE","D","DVN","EQT","ESV","FOXF","GIG","GPOR","HES","MTDR","PE","PRAH","QEP","SABR","SE","SPWH","SRC","SWN","SYRG","WGP","USO","SPY"
"2016-09-21",24092400,333100,6097900,4104500,2784400,4746400,1729000,13016900,2623500,545800,4135500,6456400,1717800,3003100,541100,5229700,2414400,3646900,242000,3215300,11557400,4235000,478400,43920000,108635400
"2016-09-20",6311200,490900,5479800,2926100,2431600,3887500,1754300,7900000,68500,471400,2436000,5156400,1258100,2214000,331400,3785500,2466800,3056600,253500,6106300,9942200,3484300,195800,43951700,69665300
"2016-09-19",10788200,433200,3497100,3015700,2133300,3869200,1075900,8438400,113400,297900,1819600,3652600,1492200,2807100,400100,3774700,3060900,4341800,384300,6308100,11667300,2855300,279400,45691100,80250500
"2016-09-16",11206900,645200,7010200,7111700,4744400,5589600,2310700,14007300,308300,583300,4663700,5518800,1990300,4957800,611400,6512900,2379300,9275200,840700,7492600,20161500,4978800,320000,38798500,155236400
"2016-09-15",12405400,350400,5422800,5171700,2145100,4470500,1193400,8653000,296800,990000,2118700,5591300,1371800,2086300,645000,4817500,2352600,4312800,340400,5089500,10241700,3229400,188000,37908400,134427900
"2016-09-14",16978100,426000,5446400,4135700,1812000,6536100,1459300,14427600,164900,392800,2755800,5682700,1225200,2257000,529800,4387600,4938000,5398000,321100,5607200,11937400,3409100,276800,53454200,134185500
"2016-09-13",14497400,848800,6149100,5897000,3079100,7034900,1338900,14272900,196700,542200,2561100,6418500,1472500,2467400,346100,5776700,3149600,7159200,537200,6776900,12209100,5372500,740700,38010200,182828800
"2016-09-12",10821700,413800,4075900,6015400,3193800,5414700,1260500,10065100,276500,717000,1990800,5132500,1169700,2205900,988100,4473900,2438300,9491500,283700,10993500,8603200,4854300,214000,26420400,168110900
"2016-09-09",13715000,269800,5718300,6691900,2994900,6411600,1618400,9859600,507300,862200,2257600,5185200,1301900,3253700,444800,3900700,2566900,8831800,339100,10034500,9891600,5472800,217300,28765500,221589100
"2016-09-08",11096100,546200,8842900,6137400,2603900,6448900,1197400,14734900,129600,985700,3808700,5192000,1940500,3713500,650700,5565600,2962500,18297000,243300,5666900,15602000,5763200,1579500,53504000,74102900
"2016-09-07",14671000,188700,6854200,22892800,1662500,4112800,966200,8727600,161100,888500,2943800,7258400,1696400,2420700,410700,3517300,2359800,24179000,188000,8741400,8078200,4168000,253700,31322200,76554900
"2016-09-06",17817300,225700,5509000,2508800,2477400,5178800,853200,8544300,220100,663300,6793000,11155600,1041600,2994500,910300,2313400,2165400,64012800,240400,4469100,9766600,2816900,365500,33582000,56702100
"2016-09-02",7281300,158500,4385500,2370500,1794900,5105900,1023200,6022000,155600,301200,2294000,3916900,1205800,2904000,233300,3337700,1767800,2433000,126900,4073700,6314700,3185700,305700,36936700,79293900
"2016-09-01",8875500,96300,5155700,3091900,2144200,6026800,1146400,9472000,183900,247500,2145100,3776700,1079600,2917300,526400,4255700,2292200,2605200,363800,3131100,8627000,5086300,192300,59001400,97844200
"2016-08-31",10924000,191100,7187500,3286700,3448800,6948600,1248100,5578300,245000,280200,3834100,3555400,1258500,2729500,335200,4644800,1514400,3251800,472100,3921800,8598400,7424000,113700,30406800,85269500
"2016-08-30",10911600,249800,7326500,2372100,2415500,5286700,1361100,5501800,380800,340500,4213900,1904700,1730700,2365100,371900,4110700,2247100,2229800,344800,6408800,6160800,6029500,225400,27172900,58114500
"2016-08-29",7291200,134800,5414200,1985500,3758900,5571300,1137000,4564400,281700,318000,2520100,2323900,1075100,1933300,544400,4077900,1710500,2917400,204000,4009300,7134500,9648400,133500,24748400,70502200
"2016-08-26",11237600,238700,5259700,3149900,3243700,4760500,1626800,7467100,272600,222200,3546400,2616400,1433100,1711200,524600,4583100,1939800,3044700,362500,5509500,16901700,2670800,293400,26251700,122506300
"2016-08-25",8166200,122400,4476700,3047500,2193300,4122700,987100,6821100,260600,319100,1745500,3464300,1573000,2180500,631100,2847600,2744500,3079300,426000,5121200,6258500,3828200,302800,23309300,69224800
"2016-08-24",9460800,307400,3303500,2775400,2155400,4770200,1660600,7148200,328200,263100,2188900,3289200,2163800,2634000,711700,3585800,4371200,3173600,442900,6896200,7733900,5088800,313300,29656300,71728900
"2016-08-23",8753300,226800,2881200,2691400,2095600,5730900,2135700,5528100,200000,201400,2453400,2289200,1674200,2671400,880500,2287300,2113700,3566700,615300,2316900,8022400,4716800,373400,47220800,53399200
"2016-08-22",9269600,232600,3785800,2635500,2308200,4682800,1756100,8385600,72100,189500,2589700,4498500,1434600,1619900,742600,2602300,1908300,3907600,584700,2726300,9794800,2315000,480800,24835600,61368800
