Date,TAST,INCR,LSCC,X,AEP
9/21/16,13.18,43.880001,6.24,17.856616,65.572479
9/20/16,12.69,43.16,6.28,16.59967,64.403488
9/19/16,12.87,43.040001,6.35,16.769258,64.809659
9/16/16,13.07,42.880001,6.43,15.87144,64.205349
9/15/16,13.11,42.939999,6.46,16.021076,63.700112
9/14/16,13.03,43.110001,6.26,16.240544,63.422718
9/13/16,13.06,42.84,6.06,16.310374,63.214682
9/12/16,13.29,43.669998,5.96,17.387756,64.106283
9/9/16,13.03,42.939999,5.98,16.988726,63.115613
9/8/16,13.39,43.380001,6.2,18.515017,65.483315
9/7/16,13.66,43.599998,6.22,19.113563,65.433786
9/6/16,13.58,43.509998,6.26,19.432787,65.423877
9/2/16,13.79,44.009998,6.19,18.854193,64.631338
9/1/16,13.39,43.82,6.2,19.283151,63.809087
8/31/16,13.46,43.630001,6.15,19.392885,63.96759
8/30/16,13.4,44.369999,6.2,19.462715,63.719923
8/29/16,13.37,44.18,6.13,20.190945,64.5719
8/26/16,13.36,43.799999,6.16,19.742037,64.086473
8/25/16,13.47,44.110001,6.15,20.021357,65.7508
8/24/16,13.33,45.360001,6.22,19.871721,65.721074
8/23/16,13.36,46.790001,6.22,20.659805,65.661636
8/22/16,13.12,45.93,6.12,20.899225,65.899395
8/19/16,13.17,44.5,6.1,20.330605,65.7508
8/18/16,13.48,44.700001,6.08,21.75714,66.771189
8/17/16,13.28,44.02,5.96,21.437916,65.879584
8/16/16,13.46,45.380001,5.91,21.557626,65.067235
8/15/16,13.71,46.009998,5.91,22.245952,65.899395
8/12/16,13.7,45.099998,5.77,21.008958,66.919791
8/11/16,13.74,45.009998,5.75,22.625032,67.088204
8/10/16,13.88,44.919998,5.71,23.133796,66.929693
8/9/16,13.73,45.540001,6.02,24.211179,66.761281
8/8/16,12.1,45.369999,6.14,25.767397,66.523522
8/5/16,12.24,45.639999,6.11,26.375918,66.662212
8/4/16,11.87,44.950001,5.98,25.878071,67.438383
8/3/16,12.05,44.52,5.93,26.087167,67.251707
8/2/16,11.77,42.985001,6,25.579364,67.801909
8/1/16,12.13,42.759998,6.11,26.455573,68.096652
7/29/16,12.11,44.509998,6.01,27.371611,68.086833
7/28/16,12.13,44.970001,6.14,26.784152,67.71348
7/27/16,12.28,43.57,6.18,25.380224,67.654533
7/26/16,12.25,42.189999,6.14,22.851164,68.519125
7/25/16,12.73,42.439999,6.04,21.218226,68.548599
7/22/16,12.8,42.650002,6.08,21.068872,68.833523
7/21/16,12.45,42.810001,6.2,20.431629,68.214554
7/20/16,12.5,43.130001,6.22,20.29223,68.135953
7/19/16,12.24,42.060001,5.88,20.829906,68.548599
7/18/16,12.2,41.98,6.02,21.62646,68.725448
7/15/16,12.25,41.209999,5.92,21.586633,68.420877
7/14/16,12.35,41.610001,5.89,21.188356,68.165427
7/13/16,12.38,40.84,5.91,21.029045,68.784403
